Date,Sum of Cases,Sum of Death,Change
March 22,351,3,
March 26,621,8,
March 27,796,9,175
March 28,966,10,170
March 29,1050,10,84
March 30,1183,15,133
March 31,1351,23,168
April 1,1511,33,160
April 2,1707,30,196
April 3,1914,40,207
April 4,2054,57,140
April 5,2329,63,275
April 6,2498,74,169
April 7,2813,89,315
April 8,3081,100,268
April 9,3458,107,377
April 10,3906,137,448
April 11,4235,142,329
April 12,4493,146,258
April 13,4812,169,319
April 14,5148,204,336
April 15,5391,191,243
April 16,5711,279,320
April 17,6074,263,363
April 18,6394,282,320
April 19,6761,279,367
April 20,7167,323,406
April 21,,,
April 22,8081,414,
April 23,8846,436,765
April 24,9167,466,321
April 25,9461,492,294
April 26,9766,527,305
April 27,10043,564,277
April 28,10310,585,267
April 29,10602,640,292
April 30,10940,681,338
May 1,11330,730,390
May 2,11642,751,312
May 3,11757,765,115
May 4,12185,831,428
May 5,12440,868,255
May 6,12787,913,347
May 7,13181,951,394
May 8,13514,989,333
May 9,13717,1038,203
May 10,14006,1055,289
May 11,14273,1078,267
May 12,14566,1126,293
May 13,14850,1147,284
May 14,15105,1167,255
May 15,15397,1184,292
May 16,15634,1204,237
May 17,15889,1224,255
May 18,16128,1235,239
May 19,16525,1247,397
May 20,16880,1281,355
May 21,17207,1304,327
May 22,17618,1317,411
May 23,18027,1333,409
May 24,18310,1349,283
May 25,18653,1372,343
May 26,18935,1393,282
May 27,19206,1415,271
May 28,19545,1440,339
May 29,19851,1460,306
May 30,20138,1473,287
May 31,20348,1480,210
June 1,20588,1485,240
June 2,20848,1494,260
June 3,21057,1507,209
June 4,21339,1546,282
June 5,21678,1554,339
June 6,21678,1554,0
June 7,22302,1601,624
June 8,22542,1619,240
June 9,22710,1630,168
June 10,22886,1638,176
June 11,23025,1648,139
June 12,23180,1656,155
June 13,23331,1662,151
June 14,23466,1669,135
June 15,23602,1675,136
June 16,24202,1737,600
June 17,24338,1744,136
June 18,24481,1735,143
June 19,24612,1743,131
June 20,24734,1769,122
June 21,24866,1774,132
June 22,24988,1780,122
June 23,25153,1800,165
June 24,25317,1811,164
June 25,25444,1812,127
June 26,25525,1814,81
June 27,25660,1823,135
June 28,25813,1828,153
June 29,25891,1837,78
June 30,25988,1852,97
July 1,26087,1856,99
July 2,26217,1860,130
July 3,26341,1862,124
July 4,26430,1864,89
July 5,26518,1865,88
July 6,26647,1854,129
July 7,26718,1855,71
July 8,26818,1860,100
July 9,26871,1862,53
July 10,26970,1870,99
July 11,27015,1870,45
July 12,27055,1871,40
July 13,27254,1874,199
July 14,27303,1876,49
July 15,27391,1884,88
July 16,27443,1886,52
July 17,27539,1894,96
July 18,27598,1894,59
July 19,27648,1894,50
July 20,27805,1898,157
July 21,27838,1898,33
July 22,27935,1913,97
July 23,27979,1913,44
July 24,28087,1916,108
July 25,28107,1916,20